Rank,Feature,Importance
137,mean_InscClaimAmtReimbursed_perClmProcedureCode_6,0.0
138,mean_DeductibleAmtPaid_perClmProcedureCode_6,0.0
139,mean_IPAnnualReimbursementAmt_perClmProcedureCode_6,0.0
140,mean_IPAnnualDeductibleAmt_perClmProcedureCode_6,0.0
141,mean_OPAnnualReimbursementAmt_perClmProcedureCode_6,0.0
142,mean_OPAnnualDeductibleAmt_perClmProcedureCode_6,0.0
143,mean_Age_perClmProcedureCode_6,0.0
144,mean_Hospital_Days_perClmProcedureCode_6,0.0
145,mean_Claim_Days_perClmProcedureCode_6,0.0
146,mean_Risk_perClmProcedureCode_6,0.0
147,mean_InscClaimAmtReimbursed_perClmDiagnosisCode_1,0.0
148,mean_DeductibleAmtPaid_perClmDiagnosisCode_1,0.0
149,mean_IPAnnualReimbursementAmt_perClmDiagnosisCode_1,0.0
150,mean_IPAnnualDeductibleAmt_perClmDiagnosisCode_1,0.0
151,mean_OPAnnualReimbursementAmt_perClmDiagnosisCode_1,0.0
152,mean_OPAnnualDeductibleAmt_perClmDiagnosisCode_1,0.0
153,mean_Age_perClmDiagnosisCode_1,0.0
154,RenalDiseaseIndicator,0.0
155,mean_Claim_Days_perClmDiagnosisCode_1,0.0
156,mean_Risk_perClmDiagnosisCode_1,0.0
157,mean_InscClaimAmtReimbursed_perClmDiagnosisCode_2,0.0
158,mean_DeductibleAmtPaid_perClmDiagnosisCode_2,0.0
159,mean_IPAnnualReimbursementAmt_perClmDiagnosisCode_2,0.0
160,mean_IPAnnualDeductibleAmt_perClmDiagnosisCode_2,0.0
161,mean_OPAnnualReimbursementAmt_perClmDiagnosisCode_2,0.0
162,mean_OPAnnualDeductibleAmt_perClmDiagnosisCode_2,0.0
163,mean_Age_perClmDiagnosisCode_2,0.0
164,mean_Hospital_Days_perClmDiagnosisCode_2,0.0
165,mean_Claim_Days_perClmDiagnosisCode_2,0.0
166,mean_Risk_perClmDiagnosisCode_2,0.0
167,mean_InscClaimAmtReimbursed_perClmDiagnosisCode_3,0.0
